chorus_path,title,artist,rank,year,popularity,file_path
choruss\Sicko Mode_chorus.wav,Sicko Mode,Travis Scott,42,2018,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Sicko Mode.mp3
choruss\Walk It Talk It_chorus.wav,Walk It Talk It,Migos Featuring Drake,43,2018,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Walk It Talk It.mp3
choruss\Gucci Gang_chorus.wav,Gucci Gang,Lil Pump,44,2018,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Gucci Gang.mp3
choruss\Him & I_chorus.wav,Him & I,G-Eazy & Halsey,45,2018,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Him & I.mp3
choruss\In My Blood_chorus.wav,In My Blood,Shawn Mendes,46,2018,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\In My Blood.mp3
choruss\All The Stars_chorus.wav,All The Stars,Kendrick Lamar & SZA,47,2018,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\All The Stars.mp3
choruss\Stir Fry_chorus.wav,Stir Fry,Migos,48,2018,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Stir Fry.mp3
choruss\Too Good At Goodbyes_chorus.wav,Too Good At Goodbyes,Sam Smith,49,2018,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Too Good At Goodbyes.mp3
choruss\Love._chorus.wav,Love.,Kendrick Lamar Featuring Zacari,50,2018,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Love..mp3
choruss\This Is America_chorus.wav,This Is America,Childish Gambino,51,2018,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\This Is America.mp3
choruss\Nonstop_chorus.wav,Nonstop,Drake,52,2018,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Nonstop.mp3
choruss\Heaven_chorus.wav,Heaven,Kane Brown,53,2018,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Heaven.mp3
choruss\Bodak Yellow (Money Moves)_chorus.wav,Bodak Yellow (Money Moves),Cardi B,54,2018,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Bodak Yellow (Money Moves).mp3
choruss\Freaky Friday_chorus.wav,Freaky Friday,Lil Dicky Featuring Chris Brown,55,2018,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Freaky Friday.mp3
choruss\Gummo_chorus.wav,Gummo,6ix9ine,56,2018,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Gummo.mp3
choruss\Plug Walk_chorus.wav,Plug Walk,Rich The Kid,57,2018,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Plug Walk.mp3
choruss\Wait_chorus.wav,Wait,Maroon 5,58,2018,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Wait.mp3
choruss\Be Careful_chorus.wav,Be Careful,Cardi B,59,2018,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Be Careful.mp3
choruss\Wolves_chorus.wav,Wolves,Selena Gomez X Marshmello,60,2018,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Wolves.mp3
choruss\Bartier Cardi_chorus.wav,Bartier Cardi,Cardi B Featuring 21 Savage,61,2018,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Bartier Cardi.mp3
choruss\God Is A Woman_chorus.wav,God Is A Woman,Ariana Grande,62,2018,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\God Is A Woman.mp3
,Big Bank,"YG Featuring 2 Chainz, Big Sean & Nicki Minaj",63,2018,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Big Bank.mp3
choruss\Sorry Not Sorry_chorus.wav,Sorry Not Sorry,Demi Lovato,64,2018,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Sorry Not Sorry.mp3
choruss\How Long_chorus.wav,How Long,Charlie Puth,65,2018,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\How Long.mp3
choruss\Lights Down Low_chorus.wav,Lights Down Low,MAX Featuring gnash,66,2018,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Lights Down Low.mp3
choruss\Young Dumb & Broke_chorus.wav,Young Dumb & Broke,Khalid,67,2018,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Young Dumb & Broke.mp3
choruss\One Kiss_chorus.wav,One Kiss,Calvin Harris & Dua Lipa,68,2018,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\One Kiss.mp3
choruss\Natural_chorus.wav,Natural,Imagine Dragons,69,2018,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Natural.mp3
choruss\You Make It Easy_chorus.wav,You Make It Easy,Jason Aldean,70,2018,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\You Make It Easy.mp3
choruss\Shape Of You_chorus.wav,Shape Of You,Ed Sheeran,71,2018,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Shape Of You.mp3
choruss\I Get The Bag_chorus.wav,I Get The Bag,Gucci Mane Featuring Migos,72,2018,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\I Get The Bag.mp3
choruss\No Brainer_chorus.wav,No Brainer,"DJ Khaled Featuring Justin Bieber, Chance The Rapper & Quavo",73,2018,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\No Brainer.mp3
choruss\Plain Jane_chorus.wav,Plain Jane,A$AP Ferg Featuring Nicki Minaj,74,2018,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Plain Jane.mp3
choruss\Sky Walker_chorus.wav,Sky Walker,Miguel Featuring Travis Scott,75,2018,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Sky Walker.mp3
,Marry Me,Thomas Rhett,76,2018,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Marry Me.mp3
choruss\Eastside_chorus.wav,Eastside,"benny blanco, Halsey & Khalid",77,2018,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Eastside.mp3
choruss\Call Out My Name_chorus.wav,Call Out My Name,The Weeknd,78,2018,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Call Out My Name.mp3
choruss\King's Dead_chorus.wav,King's Dead,"Jay Rock, Kendrick Lamar, Future & James Blake",79,2018,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\King's Dead.mp3
choruss\Happier_chorus.wav,Happier,Marshmello & Bastille,80,2018,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Happier.mp3
choruss\Te Bote_chorus.wav,Te Bote,"Casper Magico, Nio Garcia, Darell, Nicky Jam, Ozuna & Bad Bunny",81,2018,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Te Bote.mp3
choruss\Simple_chorus.wav,Simple,Florida Georgia Line,82,2018,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Simple.mp3
,Lemon,N*E*R*D & Rihanna,83,2018,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Lemon.mp3
choruss\1-800-273-8255_chorus.wav,1-800-273-8255,Logic Featuring Alessia Cara & Khalid,84,2018,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\1-800-273-8255.mp3
,Say Something,Justin Timberlake Featuring Chris Stapleton,85,2018,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Say Something.mp3
choruss\I'm Upset_chorus.wav,I'm Upset,Drake,86,2018,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\I'm Upset.mp3
choruss\Get Along_chorus.wav,Get Along,Kenny Chesney,87,2018,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Get Along.mp3
choruss\Moonlight_chorus.wav,Moonlight,XXXTENTACION,88,2018,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Moonlight.mp3
choruss\What Lovers Do_chorus.wav,What Lovers Do,Maroon 5 Featuring SZA,89,2018,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\What Lovers Do.mp3
choruss\X_chorus.wav,X,Nicky Jam x J Balvin,90,2018,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\X.mp3
choruss\Outside Today_chorus.wav,Outside Today,YoungBoy Never Broke Again,91,2018,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Outside Today.mp3
choruss\Trip_chorus.wav,Trip,Ella Mai,92,2018,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Trip.mp3
choruss\Dura_chorus.wav,Dura,Daddy Yankee,93,2018,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Dura.mp3
choruss\Changes_chorus.wav,Changes,XXXTENTACION,94,2018,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Changes.mp3
choruss\Mercy_chorus.wav,Mercy,Brett Young,95,2018,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Mercy.mp3
choruss\One Number Away_chorus.wav,One Number Away,Luke Combs,96,2018,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\One Number Away.mp3
choruss\Powerglide_chorus.wav,Powerglide,Rae Sremmurd & Juicy J,97,2018,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Powerglide.mp3
choruss\IDGAF_chorus.wav,IDGAF,Dua Lipa,98,2018,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\IDGAF.mp3
choruss\Mi Gente_chorus.wav,Mi Gente,J Balvin & Willy William Featuring Beyonce,99,2018,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Mi Gente.mp3
choruss\Believer_chorus.wav,Believer,Imagine Dragons,100,2018,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Believer.mp3
choruss\Old Town Road_chorus.wav,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus,1,2019,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Old Town Road.mp3
,Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee,2,2019,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Sunflower (Spider-Man: Into The Spider-Verse).mp3
choruss\Without Me_chorus.wav,Without Me,Halsey,3,2019,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Without Me.mp3
choruss\Bad Guy_chorus.wav,Bad Guy,Billie Eilish,4,2019,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Bad Guy.mp3
choruss\Wow._chorus.wav,Wow.,Post Malone,5,2019,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Wow..mp3
choruss\Happier_chorus.wav,Happier,Marshmello & Bastille,6,2019,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Happier.mp3
choruss\7 Rings_chorus.wav,7 Rings,Ariana Grande,7,2019,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\7 Rings.mp3
choruss\Talk_chorus.wav,Talk,Khalid,8,2019,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Talk.mp3
choruss\Sicko Mode_chorus.wav,Sicko Mode,Travis Scott,9,2019,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Sicko Mode.mp3
choruss\Sucker_chorus.wav,Sucker,Jonas Brothers,10,2019,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Sucker.mp3
choruss\High Hopes_chorus.wav,High Hopes,Panic! At The Disco,11,2019,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\High Hopes.mp3
"choruss\Thank U, Next_chorus.wav","Thank U, Next",Ariana Grande,12,2019,Not Popular,"C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Thank U, Next.mp3"
