,title,artist,rank,year,popularity,File Path
70,Shape Of You,Ed Sheeran,71,2018,Not Popular,audio_files/Shape Of You.mp3
71,I Get The Bag,Gucci Mane Featuring Migos,72,2018,Not Popular,audio_files/I Get The Bag.mp3
72,No Brainer,"DJ Khaled Featuring Justin Bieber, Chance The Rapper & Quavo",73,2018,Not Popular,audio_files/No Brainer.mp3
73,Plain Jane,A$AP Ferg Featuring Nicki Minaj,74,2018,Not Popular,audio_files/Plain Jane.mp3
74,Sky Walker,Miguel Featuring Travis Scott,75,2018,Not Popular,audio_files/Sky Walker.mp3
75,Marry Me,Thomas Rhett,76,2018,Not Popular,audio_files/Marry Me.mp3
76,Eastside,"benny blanco, Halsey & Khalid",77,2018,Not Popular,audio_files/Eastside.mp3
77,Call Out My Name,The Weeknd,78,2018,Not Popular,audio_files/Call Out My Name.mp3
78,King's Dead,"Jay Rock, Kendrick Lamar, Future & James Blake",79,2018,Not Popular,audio_files/King's Dead.mp3
79,Happier,Marshmello & Bastille,80,2018,Not Popular,audio_files/Happier.mp3
80,Te Bote,"Casper Magico, Nio Garcia, Darell, Nicky Jam, Ozuna & Bad Bunny",81,2018,Not Popular,audio_files/Te Bote.mp3
81,Simple,Florida Georgia Line,82,2018,Not Popular,audio_files/Simple.mp3
82,Lemon,N*E*R*D & Rihanna,83,2018,Not Popular,audio_files/Lemon.mp3
83,1-800-273-8255,Logic Featuring Alessia Cara & Khalid,84,2018,Not Popular,audio_files/1-800-273-8255.mp3
84,Say Something,Justin Timberlake Featuring Chris Stapleton,85,2018,Not Popular,audio_files/Say Something.mp3
85,I'm Upset,Drake,86,2018,Not Popular,audio_files/I'm Upset.mp3
86,Get Along,Kenny Chesney,87,2018,Not Popular,audio_files/Get Along.mp3
87,Moonlight,XXXTENTACION,88,2018,Not Popular,audio_files/Moonlight.mp3
88,What Lovers Do,Maroon 5 Featuring SZA,89,2018,Not Popular,audio_files/What Lovers Do.mp3
89,X,Nicky Jam x J Balvin,90,2018,Not Popular,audio_files/X.mp3
90,Outside Today,YoungBoy Never Broke Again,91,2018,Not Popular,audio_files/Outside Today.mp3
91,Trip,Ella Mai,92,2018,Not Popular,audio_files/Trip.mp3
92,Dura,Daddy Yankee,93,2018,Not Popular,audio_files/Dura.mp3
93,Changes,XXXTENTACION,94,2018,Not Popular,audio_files/Changes.mp3
94,Mercy,Brett Young,95,2018,Not Popular,audio_files/Mercy.mp3
95,One Number Away,Luke Combs,96,2018,Not Popular,audio_files/One Number Away.mp3
96,Powerglide,Rae Sremmurd & Juicy J,97,2018,Not Popular,audio_files/Powerglide.mp3
97,IDGAF,Dua Lipa,98,2018,Not Popular,audio_files/IDGAF.mp3
98,Mi Gente,J Balvin & Willy William Featuring Beyonce,99,2018,Not Popular,audio_files/Mi Gente.mp3
99,Believer,Imagine Dragons,100,2018,Not Popular,audio_files/Believer.mp3
100,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus,1,2019,Not Popular,audio_files/Old Town Road.mp3
101,Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee,2,2019,Not Popular,
102,Without Me,Halsey,3,2019,Not Popular,audio_files/Without Me.mp3
103,Bad Guy,Billie Eilish,4,2019,Not Popular,audio_files/Bad Guy.mp3
104,Wow.,Post Malone,5,2019,Not Popular,audio_files/Wow..mp3
105,Happier,Marshmello & Bastille,6,2019,Not Popular,audio_files/Happier.mp3
106,7 Rings,Ariana Grande,7,2019,Not Popular,audio_files/7 Rings.mp3
107,Talk,Khalid,8,2019,Not Popular,audio_files/Talk.mp3
108,Sicko Mode,Travis Scott,9,2019,Not Popular,audio_files/Sicko Mode.mp3
109,Sucker,Jonas Brothers,10,2019,Not Popular,audio_files/Sucker.mp3
110,High Hopes,Panic! At The Disco,11,2019,Not Popular,audio_files/High Hopes.mp3
111,"Thank U, Next",Ariana Grande,12,2019,Not Popular,"audio_files/Thank U, Next.mp3"
112,Truth Hurts,Lizzo,13,2019,Not Popular,audio_files/Truth Hurts.mp3
113,Dancing With A Stranger,Sam Smith & Normani,14,2019,Not Popular,audio_files/Dancing With A Stranger.mp3
114,Senorita,Shawn Mendes & Camila Cabello,15,2019,Not Popular,audio_files/Senorita.mp3
115,I Don't Care,Ed Sheeran & Justin Bieber,16,2019,Not Popular,audio_files/I Don't Care.mp3
116,Eastside,"benny blanco, Halsey & Khalid",17,2019,Not Popular,audio_files/Eastside.mp3
117,Going Bad,Meek Mill Featuring Drake,18,2019,Not Popular,audio_files/Going Bad.mp3
118,Shallow,Lady Gaga & Bradley Cooper,19,2019,Not Popular,audio_files/Shallow.mp3
119,Better,Khalid,20,2019,Not Popular,audio_files/Better.mp3
120,No Guidance,Chris Brown Featuring Drake,21,2019,Not Popular,audio_files/No Guidance.mp3
121,Girls Like You,Maroon 5 Featuring Cardi B,22,2019,Not Popular,audio_files/Girls Like You.mp3
122,Sweet But Psycho,Ava Max,23,2019,Not Popular,audio_files/Sweet But Psycho.mp3
123,Suge,DaBaby,24,2019,Not Popular,audio_files/Suge.mp3
124,Middle Child,J. Cole,25,2019,Not Popular,audio_files/Middle Child.mp3
125,Drip Too Hard,Lil Baby & Gunna,26,2019,Not Popular,audio_files/Drip Too Hard.mp3
126,Someone You Loved,Lewis Capaldi,27,2019,Not Popular,audio_files/Someone You Loved.mp3
127,Ran$om,Lil Tecca,28,2019,Not Popular,audio_files/Ran$om.mp3
128,If I Can't Have You,Shawn Mendes,29,2019,Not Popular,audio_files/If I Can't Have You.mp3
129,Goodbyes,Post Malone Featuring Young Thug,30,2019,Not Popular,audio_files/Goodbyes.mp3
130,ZEZE,Kodak Black Featuring Travis Scott & Offset,31,2019,Not Popular,audio_files/ZEZE.mp3
131,Better Now,Post Malone,32,2019,Not Popular,audio_files/Better Now.mp3
132,Youngblood,5 Seconds Of Summer,33,2019,Not Popular,audio_files/Youngblood.mp3
133,Money In The Grave,Drake Featuring Rick Ross,34,2019,Not Popular,audio_files/Money In The Grave.mp3
134,Speechless,Dan + Shay,35,2019,Not Popular,audio_files/Speechless.mp3
135,"Break Up With Your Girlfriend, I'm Bored",Ariana Grande,36,2019,Not Popular,"audio_files/Break Up With Your Girlfriend, I'm Bored.mp3"
136,Please Me,Cardi B & Bruno Mars,37,2019,Not Popular,audio_files/Please Me.mp3
137,Money,Cardi B,38,2019,Not Popular,audio_files/Money.mp3
138,You Need To Calm Down,Taylor Swift,39,2019,Not Popular,audio_files/You Need To Calm Down.mp3
139,Panini,Lil Nas X,40,2019,Not Popular,audio_files/Panini.mp3
140,Look Back At It,A Boogie Wit da Hoodie,41,2019,Not Popular,audio_files/Look Back At It.mp3
141,A Lot,21 Savage,42,2019,Not Popular,audio_files/A Lot.mp3
142,ME!,Taylor Swift Featuring Brendon Urie,43,2019,Not Popular,audio_files/ME!.mp3
143,MIA,Bad Bunny Featuring Drake,44,2019,Not Popular,audio_files/MIA.mp3
144,Pop Out,Polo G Featuring Lil Tjay,45,2019,Not Popular,audio_files/Pop Out.mp3
145,Beautiful Crazy,Luke Combs,46,2019,Not Popular,audio_files/Beautiful Crazy.mp3
146,Thotiana,Blueface,47,2019,Not Popular,audio_files/Thotiana.mp3
147,Lucid Dreams,Juice WRLD,48,2019,Not Popular,audio_files/Lucid Dreams.mp3
148,Mo Bamba,Sheck Wes,49,2019,Not Popular,audio_files/Mo Bamba.mp3
149,Beautiful People,Ed Sheeran Featuring Khalid,50,2019,Not Popular,audio_files/Beautiful People.mp3
150,Wake Up In The Sky,Gucci Mane X Bruno Mars X Kodak Black,51,2019,Not Popular,audio_files/Wake Up In The Sky.mp3
151,Whiskey Glasses,Morgan Wallen,52,2019,Not Popular,audio_files/Whiskey Glasses.mp3
152,God's Country,Blake Shelton,53,2019,Not Popular,audio_files/God's Country.mp3
153,Be Alright,Dean Lewis,54,2019,Not Popular,audio_files/Be Alright.mp3
154,Pure Water,Mustard & Migos,55,2019,Not Popular,audio_files/Pure Water.mp3
155,The Git Up,Blanco Brown,56,2019,Not Popular,audio_files/The Git Up.mp3
156,Taki Taki,"DJ Snake Featuring Selena Gomez, Ozuna & Cardi B",57,2019,Not Popular,audio_files/Taki Taki.mp3
157,Close To Me,Ellie Goulding X Diplo Featuring Swae Lee,58,2019,Not Popular,audio_files/Close To Me.mp3
158,Envy Me,Calboy,59,2019,Not Popular,audio_files/Envy Me.mp3
159,You Say,Lauren Daigle,60,2019,Not Popular,audio_files/You Say.mp3
160,"Hey Look Ma, I Made It",Panic! At The Disco,61,2019,Not Popular,"audio_files/Hey Look Ma, I Made It.mp3"
161,Circles,Post Malone,62,2019,Not Popular,audio_files/Circles.mp3
162,Beer Never Broke My Heart,Luke Combs,63,2019,Not Popular,audio_files/Beer Never Broke My Heart.mp3
163,The London,"Young Thug, J. Cole & Travis Scott",64,2019,Not Popular,audio_files/The London.mp3
164,Con Calma,Daddy Yankee & Katy Perry Featuring Snow,65,2019,Not Popular,audio_files/Con Calma.mp3
165,Murder On My Mind,YNW Melly,66,2019,Not Popular,audio_files/Murder On My Mind.mp3
166,When The Party's Over,Billie Eilish,67,2019,Not Popular,audio_files/When The Party's Over.mp3
167,Act Up,City Girls,68,2019,Not Popular,audio_files/Act Up.mp3
168,I Like It,"Cardi B, Bad Bunny & J Balvin",69,2019,Not Popular,audio_files/I Like It.mp3
169,Trampoline,SHAED,70,2019,Not Popular,audio_files/Trampoline.mp3
170,Leave Me Alone,Flipp Dinero,71,2019,Not Popular,audio_files/Leave Me Alone.mp3
171,Breathin,Ariana Grande,72,2019,Not Popular,audio_files/Breathin.mp3
172,Bury A Friend,Billie Eilish,73,2019,Not Popular,audio_files/Bury A Friend.mp3
173,Close Friends,Lil Baby,74,2019,Not Popular,audio_files/Close Friends.mp3
174,Baby Shark,Pinkfong,75,2019,Not Popular,audio_files/Baby Shark.mp3
175,My Type,Saweetie,76,2019,Not Popular,audio_files/My Type.mp3
176,Worth It,YK Osiris,77,2019,Not Popular,audio_files/Worth It.mp3
177,Only Human,Jonas Brothers,78,2019,Not Popular,audio_files/Only Human.mp3
178,Knockin' Boots,Luke Bryan,79,2019,Not Popular,audio_files/Knockin' Boots.mp3
179,Trip,Ella Mai,80,2019,Not Popular,audio_files/Trip.mp3
180,Rumor,Lee Brice,81,2019,Not Popular,audio_files/Rumor.mp3
181,Swervin,A Boogie Wit da Hoodie Featuring 6ix9ine,82,2019,Not Popular,audio_files/Swervin.mp3
182,How Do You Sleep?,Sam Smith,83,2019,Not Popular,
183,Baby,Lil Baby & DaBaby,84,2019,Not Popular,audio_files/Baby.mp3
184,Look What God Gave Her,Thomas Rhett,85,2019,Not Popular,audio_files/Look What God Gave Her.mp3
185,Good As You,Kane Brown,86,2019,Not Popular,audio_files/Good As You.mp3
186,Clout,Offset Featuring Cardi B,87,2019,Not Popular,audio_files/Clout.mp3
187,Love Lies,Khalid & Normani,88,2019,Not Popular,audio_files/Love Lies.mp3
188,One Thing Right,Marshmello & Kane Brown,89,2019,Not Popular,audio_files/One Thing Right.mp3
189,Cash Shit,Megan Thee Stallion Featuring DaBaby,90,2019,Not Popular,audio_files/Cash Shit.mp3
190,Tequila,Dan + Shay,91,2019,Not Popular,audio_files/Tequila.mp3
191,Shotta Flow,NLE Choppa,92,2019,Not Popular,audio_files/Shotta Flow.mp3
192,Hot Girl Summer,"Megan Thee Stallion, Nicki Minaj & Ty Dolla $ign",93,2019,Not Popular,audio_files/Hot Girl Summer.mp3
193,Talk You Out Of It,Florida Georgia Line,94,2019,Not Popular,audio_files/Talk You Out Of It.mp3
194,Beautiful,Bazzi Featuring Camila Cabello,95,2019,Not Popular,audio_files/Beautiful.mp3
195,Eyes On You,Chase Rice,96,2019,Not Popular,audio_files/Eyes On You.mp3
196,All To Myself,Dan + Shay,97,2019,Not Popular,audio_files/All To Myself.mp3
197,Boyfriend,Ariana Grande & Social House,98,2019,Popular,audio_files/Boyfriend.mp3
198,Walk Me Home,P!nk,99,2019,Not Popular,audio_files/Walk Me Home.mp3
199,Robbery,Juice WRLD,100,2019,Not Popular,audio_files/Robbery.mp3
200,Blinding Lights,The Weeknd,1,2020,Not Popular,audio_files/Blinding Lights.mp3
201,Circles,Post Malone,2,2020,Not Popular,audio_files/Circles.mp3
202,The Box,Roddy Ricch,3,2020,Not Popular,audio_files/The Box.mp3
203,Don't Start Now,Dua Lipa,4,2020,Not Popular,audio_files/Don't Start Now.mp3
204,Rockstar,DaBaby Featuring Roddy Ricch,5,2020,Not Popular,audio_files/Rockstar.mp3
205,Adore You,Harry Styles,6,2020,Not Popular,audio_files/Adore You.mp3
206,Life Is Good,Future Featuring Drake,7,2020,Not Popular,audio_files/Life Is Good.mp3
207,Memories,Maroon 5,8,2020,Not Popular,audio_files/Memories.mp3
208,The Bones,Maren Morris,9,2020,Not Popular,audio_files/The Bones.mp3
209,Someone You Loved,Lewis Capaldi,10,2020,Not Popular,audio_files/Someone You Loved.mp3
210,Say So,Doja Cat,11,2020,Not Popular,audio_files/Say So.mp3
211,I Hope,Gabby Barrett Featuring Charlie Puth,12,2020,Not Popular,audio_files/I Hope.mp3
212,Whats Poppin,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",13,2020,Not Popular,audio_files/Whats Poppin.mp3
213,Dance Monkey,Tones And I,14,2020,Not Popular,audio_files/Dance Monkey.mp3
214,Savage,Megan Thee Stallion,15,2020,Not Popular,audio_files/Savage.mp3
215,Roxanne,Arizona Zervas,16,2020,Not Popular,audio_files/Roxanne.mp3
216,Intentions,Justin Bieber Featuring Quavo,17,2020,Not Popular,audio_files/Intentions.mp3
217,Everything I Wanted,Billie Eilish,18,2020,Not Popular,audio_files/Everything I Wanted.mp3
218,Roses,SAINt JHN,19,2020,Not Popular,audio_files/Roses.mp3
219,Watermelon Sugar,Harry Styles,20,2020,Not Popular,audio_files/Watermelon Sugar.mp3
220,Before You Go,Lewis Capaldi,21,2020,Not Popular,audio_files/Before You Go.mp3
221,Falling,Trevor Daniel,22,2020,Not Popular,audio_files/Falling.mp3
222,"10,000 Hours",Dan + Shay & Justin Bieber,23,2020,Not Popular,"audio_files/10,000 Hours.mp3"
223,WAP,Cardi B Featuring Megan Thee Stallion,24,2020,Not Popular,audio_files/WAP.mp3
224,Ballin',Mustard & Roddy Ricch,25,2020,Not Popular,audio_files/Ballin'.mp3
225,Hot Girl Bummer,blackbear,26,2020,Not Popular,audio_files/Hot Girl Bummer.mp3
226,Blueberry Faygo,Lil Mosey,27,2020,Not Popular,audio_files/Blueberry Faygo.mp3
227,Heartless,The Weeknd,28,2020,Not Popular,audio_files/Heartless.mp3
228,BOP,DaBaby,29,2020,Not Popular,audio_files/BOP.mp3
229,Lose You To Love Me,Selena Gomez,30,2020,Not Popular,audio_files/Lose You To Love Me.mp3
230,Good As Hell,Lizzo,31,2020,Not Popular,audio_files/Good As Hell.mp3
231,Toosie Slide,Drake,32,2020,Not Popular,audio_files/Toosie Slide.mp3
232,Break My Heart,Dua Lipa,33,2020,Not Popular,audio_files/Break My Heart.mp3
233,Chasin' You,Morgan Wallen,34,2020,Not Popular,audio_files/Chasin' You.mp3
234,Savage Love (Laxed - Siren Beat),Jawsh 685 x Jason Derulo,35,2020,Not Popular,audio_files/Savage Love (Laxed - Siren Beat).mp3
235,No Guidance,Chris Brown Featuring Drake,36,2020,Not Popular,audio_files/No Guidance.mp3
236,My Oh My,Camila Cabello Featuring DaBaby,37,2020,Not Popular,audio_files/My Oh My.mp3
237,Dynamite,BTS,38,2020,Not Popular,audio_files/Dynamite.mp3
238,Go Crazy,Chris Brown & Young Thug,39,2020,Not Popular,audio_files/Go Crazy.mp3
239,High Fashion,Roddy Ricch Featuring Mustard,40,2020,Not Popular,audio_files/High Fashion.mp3
240,Laugh Now Cry Later,Drake Featuring Lil Durk,41,2020,Not Popular,audio_files/Laugh Now Cry Later.mp3
241,Woah,Lil Baby,42,2020,Not Popular,audio_files/Woah.mp3
242,Death Bed,Powfu Featuring beabadoobee,43,2020,Not Popular,audio_files/Death Bed.mp3
243,Senorita,Shawn Mendes & Camila Cabello,44,2020,Not Popular,audio_files/Senorita.mp3
244,HIGHEST IN THE ROOM,Travis Scott,45,2020,Not Popular,audio_files/HIGHEST IN THE ROOM.mp3
245,Bad Guy,Billie Eilish,46,2020,Not Popular,audio_files/Bad Guy.mp3
246,Mood,24kGoldn Featuring iann dior,47,2020,Not Popular,audio_files/Mood.mp3
247,Rain On Me,Lady Gaga & Ariana Grande,48,2020,Not Popular,audio_files/Rain On Me.mp3
248,For The Night,Pop Smoke Featuring Lil Baby & DaBaby,49,2020,Not Popular,audio_files/For The Night.mp3
249,RITMO (Bad Boys For Life),Black Eyed Peas X J Balvin,50,2020,Not Popular,audio_files/RITMO (Bad Boys For Life).mp3
250,Heart On Ice,Rod Wave,51,2020,Not Popular,audio_files/Heart On Ice.mp3
251,Nobody But You,Blake Shelton Duet With Gwen Stefani,52,2020,Not Popular,audio_files/Nobody But You.mp3
252,Trampoline,SHAED,53,2020,Not Popular,audio_files/Trampoline.mp3
253,Come & Go,Juice WRLD x Marshmello,54,2020,Not Popular,audio_files/Come & Go.mp3
254,Truth Hurts,Lizzo,55,2020,Not Popular,audio_files/Truth Hurts.mp3
255,If The World Was Ending,JP Saxe Featuring Julia Michaels,56,2020,Not Popular,audio_files/If The World Was Ending.mp3
256,We Paid,Lil Baby & 42 Dugg,57,2020,Not Popular,audio_files/We Paid.mp3
257,Yummy,Justin Bieber,58,2020,Not Popular,audio_files/Yummy.mp3
258,One Man Band,Old Dominion,59,2020,Not Popular,audio_files/One Man Band.mp3
259,Got What I Got,Jason Aldean,60,2020,Not Popular,audio_files/Got What I Got.mp3
260,Sunday Best,Surfaces,61,2020,Not Popular,audio_files/Sunday Best.mp3
261,Godzilla,Eminem Featuring Juice WRLD,62,2020,Not Popular,audio_files/Godzilla.mp3
262,Bandit,Juice WRLD & YoungBoy Never Broke Again,63,2020,Not Popular,audio_files/Bandit.mp3
263,Party Girl,StaySolidRocky,64,2020,Not Popular,audio_files/Party Girl.mp3
264,Die From A Broken Heart,Maddie & Tae,65,2020,Not Popular,audio_files/Die From A Broken Heart.mp3
265,Popstar,DJ Khaled Featuring Drake,66,2020,Not Popular,audio_files/Popstar.mp3
266,All I Want For Christmas Is You,Mariah Carey,67,2020,Popular,audio_files/All I Want For Christmas Is You.mp3
267,One Of Them Girls,Lee Brice,68,2020,Not Popular,audio_files/One Of Them Girls.mp3
268,Hard To Forget,Sam Hunt,69,2020,Not Popular,audio_files/Hard To Forget.mp3
269,One Margarita,Luke Bryan,70,2020,Not Popular,audio_files/One Margarita.mp3
270,Panini,Lil Nas X,71,2020,Not Popular,audio_files/Panini.mp3
271,Hot,Young Thug Featuring Gunna,72,2020,Not Popular,audio_files/Hot.mp3
272,I Hope You're Happy Now,Carly Pearce & Lee Brice,73,2020,Not Popular,audio_files/I Hope You're Happy Now.mp3
273,Emotionally Scarred,Lil Baby,74,2020,Not Popular,audio_files/Emotionally Scarred.mp3
274,Suicidal,YNW Melly & Juice WRLD,75,2020,Not Popular,audio_files/Suicidal.mp3
275,The Bigger Picture,Lil Baby,76,2020,Not Popular,audio_files/The Bigger Picture.mp3
276,Only Human,Jonas Brothers,77,2020,Not Popular,audio_files/Only Human.mp3
277,The Woo,Pop Smoke Featuring 50 Cent & Roddy Ricch,78,2020,Not Popular,audio_files/The Woo.mp3
278,Sum 2 Prove,Lil Baby,79,2020,Not Popular,audio_files/Sum 2 Prove.mp3
279,Stuck With U,Ariana Grande & Justin Bieber,80,2020,Not Popular,audio_files/Stuck With U.mp3
280,Mood Swings,Pop Smoke Featuring Lil Tjay,81,2020,Not Popular,audio_files/Mood Swings.mp3
281,You Should Be Sad,Halsey,82,2020,Not Popular,audio_files/You Should Be Sad.mp3
282,Dior,Pop Smoke,83,2020,Not Popular,audio_files/Dior.mp3
283,Supalonely,BENEE Featuring Gus Dapperton,84,2020,Not Popular,audio_files/Supalonely.mp3
284,Even Though I'm Leaving,Luke Combs,85,2020,Not Popular,audio_files/Even Though I'm Leaving.mp3
285,The Scotts,"THE SCOTTS, Travis Scott & Kid Cudi",86,2020,Not Popular,audio_files/The Scotts.mp3
286,Juicy,Doja Cat & Tyga,87,2020,Not Popular,audio_files/Juicy.mp3
287,Be Like That,Kane Brown With Swae Lee & Khalid,88,2020,Not Popular,audio_files/Be Like That.mp3
288,Homesick,Kane Brown,89,2020,Not Popular,audio_files/Homesick.mp3
289,Rags2Riches,Rod Wave Featuring ATR Son Son,90,2020,Not Popular,audio_files/Rags2Riches.mp3
290,Bluebird,Miranda Lambert,91,2020,Not Popular,audio_files/Bluebird.mp3
291,Wishing Well,Juice WRLD,92,2020,Not Popular,audio_files/Wishing Well.mp3
292,Does To Me,Luke Combs Featuring Eric Church,93,2020,Not Popular,audio_files/Does To Me.mp3
293,P*$$y Fairy (OTW),Jhene Aiko,94,2020,Not Popular,
294,ily,Surf Mesa Featuring Emilee,95,2020,Not Popular,audio_files/ily.mp3
295,More Than My Hometown,Morgan Wallen,96,2020,Not Popular,audio_files/More Than My Hometown.mp3
296,Lovin' On You,Luke Combs,97,2020,Not Popular,audio_files/Lovin' On You.mp3
297,Said Sum,Moneybagg Yo,98,2020,Not Popular,audio_files/Said Sum.mp3
